Name of Hospital,Address,Latitude,Longitude
"BLK Super Speciality Hospital, Delhi","Pusa Lane, Karol Bagh, Block 17 A, WEA, Karol Bagh, New Delhi, Delhi 110005",28.6453264,77.1916719
"Dharamshila Hospital And Research Centre, Delhi","Dharamshila marg, Vasundhara Enclave Near Ashok Nagar Metro Station, Dallupura, New Delhi, Delhi 110096",28.6025254,77.311884
"FLT. LT. RAJAN DHALL FORTIS HOSPITAL, Delhi","Aruna Asaf Ali Marg, Pocket 1, Sector B, Vasant Kunj, New Delhi, Delhi 110070",28.5196911,77.160019
"Fortis Escorts Heart Institute, Delhi","Okhla road, Sukhdev Vihar Metro Station, New Delhi, Delhi 110025",28.560663,77.2717096
"Indian Spinal Injuries Centre, Delhi","Vasant Kunj Marg, Opp Vasant Valley School, IAA Colony, Sector C, Vasant Kunj, New Delhi, Delhi 110070",28.5331261,77.1399903
"Indraprastha Apollo Hospitals, Delhi","Chennai - Delhi Highway, Mathura Rd, Sarita Vihar, New Delhi, Delhi 110076",28.5411265,77.2808418
"ISIS Hospital IVF & Multi Speciality Centre, Delhi","A-1, Ground Floor Kailash Colony, New Delhi, Delhi 110048",28.5534787,77.2338045
"Maharishi Ayurveda Hospital, Delhi","Gyan Shakti Mandir Marg, Block BW, West Shalimar Bagh, Shalimar Bagh, Delhi, 110052",28.7077142,77.1522145
"Max Super Speciality Hospitals, Delhi","C and D Block, Shalimar Place Site, Shalimar Bagh, New Delhi, Delhi 110088",28.6279443,77.1019931
"Primus Super Speciality Hospital, Delhi","Chandragupta Marg, Opp Russian Embassy, Chanakyapuri, New Delhi, Delhi 110021",28.5929495,77.1790219
"Pushpawati Singhania Research Institute, Delhi","Press Enclave Marg, J Pocket, Phase II, Sheikh Sarai, New Delhi, Delhi 110017",28.5331357,77.2232465
"Rockland Hospital, Delhi","B-33-34, Block B, Qutab Institutional Area, New Delhi, Delhi 110016",28.5669639,77.0782293
"Fortis Escorts Heart Institute, Okhla Road","Okhla road, Sukhdev Vihar Metro Station, New Delhi, Delhi 110025",28.560663,77.2717096
"Fortis Memorial Research Institute, Gurgaon","Opposite HUDA City Centre, Sector 44, Gurugram, Haryana 122002",28.4566543,77.070561
"Fortis Escorts Hospital, Faridabad","Neelam Bata Rd, Opp. Neelam Cinema, AC Nagar, New Industrial Town, Faridabad, Haryana 121001",28.3914964,77.3045995
"Fortis Hospital, Shalimar Bagh","A Block, Shaheed Udham Singh Marg, Poorbi Shalimar Bag, Shalimar Bagh, New Delhi, Delhi 110088",28.7095932,77.1679202
Moolchand Medcity,"Lala Lajpat Rai Marg, Near Moolchand Metro Station, Block M, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024",28.5664292,77.2329487
"Max Super Speciality Hospital, Vaishali","W-3, Near Radisson Blu Hotel, Sector 1, Vaishali, Ghaziabad, Uttar Pradesh 201012",28.6345913,77.3308972
All India Institute of Medical Sciences,"Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, New Delhi, Delhi 110029",28.5679007,77.207339
Metro Heart Institute,"14, Ring Road Near Amar Kaloni Market, Nirmal Puri, Block B, Lajpat Nagar IV, Lajpat Nagar 4, New Delhi, Delhi 110024",28.5680381,77.1393099
Kalyani Hospital,"Mehrauli-Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122001",28.5684849,76.9282942
Umkal Hospital and M. P. Heart Research Institute,"Sushant Lok-1 A-520 Near IFFCO Metro Station, Gurugram, Haryana 122022",28.4715443,77.0710955
St.Stephens Hospital,"St. Stephen's Hospital Marg, Railway Colony, Tis Hazari, New Delhi, Delhi 110054",28.5763686,77.0894709
Jaipur Golden Hospital,"2, Naharpur Village Rd, Institutional Area, Sector 3, Rohini, Delhi, 110085",28.6976374,77.1073687
Batra Hospital & Medical Research Centre,"1, Mehrauli - Badarpur Rd, Near Saket Metro Station, Tughlakabad Institutional Area, Vayusenabad, New Delhi, Delhi 110062",28.5131019,77.2435957
Tirath Ram Shah Hospital,"2A Isher Das Sawhney Marg Near Tis Hazari Metro Station R.B.L, New Delhi, Delhi 110054",28.6708217,77.2141059
Sundarlal Jain Charitable Hospital,"Phase 3, Sawan Park, Ashok Vihar, New Delhi, Delhi 110052",28.6917906,77.1792488
Ganga Ram Hospital,"Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060",28.6385185,77.1875914